,1,26387360698
1655,1151,26389295722
1655,1152,26389297377
1655,1153,26389299032
1656,1154,26389300688
1656,1155,26389302344
1654,1156,26389303998
1656,1157,26389305654
1655,1158,26389307309
1655,1159,26389308964
1655,1160,26389310619
1656,1161,26389312275
1655,1162,26389313930
1655,1163,26389315585
1655,1164,26389317240
1656,1165,26389318896
1655,1166,26389320551
1656,1167,26389322207
1655,1168,26389323862
1655,1169,26389325517
1655,1170,26389327172
1655,1171,26389328827
1656,1172,26389330483
1655,1173,26389332138
1655,1174,26389333793
1656,1175,26389335449
1655,1176,26389337104
1655,1177,26389338759
1655,1178,26389340414
1656,1179,26389342070
1655,1180,26389343725
1655,1181,26389345380
1656,1182,26389347036
1655,1183,26389348691
1655,1184,26389350346
1655,1185,26389352001
1656,1186,26389353657
1655,1187,26389355312
1655,1188,26389356967
1656,1189,26389358623
1655,1190,26389360278
1655,1191,26389361933
1655,1192,26389363588
1656,1193,26389365244
1655,1194,26389366899
1655,1195,26389368554
1673,1196,26389370227
1638,1197,26389371865
1655,1198,26389373520
1655,1199,26389375175
1656,1200,26389376831
1655,1201,26389378486
1655,1202,26389380141
1655,1203,26389381796
1656,1204,26389383452
1655,1205,26389385107
1656,1206,26389386763
1655,1207,26389388418
1655,1208,26389390073
3310,1209,26389393383
1657,1210,26389395040
1654,1211,26389396694
1656,1212,26389398350
1655,1213,26389400005
1655,1214,26389401660
1655,1215,26389403315
1655,1216,26389404970
1656,1217,26389406626
1655,1218,26389408281
1655,1219,26389409936
1656,1220,26389411592
1655,1221,26389413247
1655,1222,26389414902
1656,1223,26389416558
1655,1224,26389418213
1655,1225,26389419868
1655,1226,26389421523
1655,1227,26389423178
1656,1228,26389424834
1655,1229,26389426489
1655,1230,26389428144
1656,1231,26389429800
1655,1232,26389431455
1655,1233,26389433110
1656,1234,26389434766
1655,1235,26389436421
1655,1236,26389438076
1655,1237,26389439731
1656,1238,26389441387
1655,1239,26389443042
1655,1240,26389444697
1656,1241,26389446353
1655,1242,26389448008
1655,1243,26389449663
1655,1244,26389451318
1656,1245,26389452974
1655,1246,26389454629
1655,1247,26389456284
1655,1248,26389457939
1656,1249,26389459595
1655,1250,26389461250
1656,1251,26389462906
1655,1252,26389464561
1655,1253,26389466216
1655,1254,26389467871
1655,1255,26389469526
1656,1256,26389471182
1655,1257,26389472837
1655,1258,26389474492
1656,1259,26389476148
1655,1260,26389477803
1655,1261,26389479458
1655,1262,26389481113
1672,1263,26389482785
1639,1264,26389484424
1655,1265,26389486079
1656,1266,26389487735
1655,1267,26389489390
1655,1268,26389491045
3311,1269,26389494356
1655,1270,26389496011
1655,1271,26389497666
1656,1272,26389499322
1655,1273,26389500977
1655,1274,26389502632
1655,1275,26389504287
1656,1276,26389505943
1655,1277,26389507598
1655,1278,26389509253
1656,1279,26389510909
1655,1280,26389512564
1655,1281,26389514219
1655,1282,26389515874
1656,1283,26389517530
1656,1284,26389519186
1654,1285,26389520840
1655,1286,26389522495
1656,1287,26389524151
1655,1288,26389525806
1655,1289,26389527461
1656,1290,26389529117
1655,1291,26389530772
1655,1292,26389532427
1655,1293,26389534082
1656,1294,26389535738
1655,1295,26389537393
1655,1296,26389539048
1656,1297,26389540704
1655,1298,26389542359
1655,1299,26389544014
1656,1300,26389545670
1655,1301,26389547325
1655,1302,26389548980
1655,1303,26389550635
1656,1304,26389552291
1655,1305,26389553946
1655,1306,26389555601
1655,1307,26389557256
1656,1308,26389558912
1655,1309,26389560567
1655,1310,26389562222
1655,1311,26389563877
1656,1312,26389565533
1655,1313,26389567188
1655,1314,26389568843
1656,1315,26389570499
1655,1316,26389572154
1655,1317,26389573809
1656,1318,26389575465
1655,1319,26389577120
1655,1320,26389578775
1655,1321,26389580430
1656,1322,26389582086
1655,1323,26389583741
1655,1324,26389585396
1656,1325,26389587052
1655,1326,26389588707
1655,1327,26389590362
1655,1328,26389592017
1656,1329,26389593673
3310,1330,26389596983
1656,1331,26389598639
1655,1332,26389600294
1655,1333,26389601949
1656,1334,26389603605
1655,1335,26389605260
1655,1336,26389606915
1655,1337,26389608570
1655,1338,26389610225
1656,1339,26389611881
1655,1340,26389613536
1656,1341,26389615192
1655,1342,26389616847
1655,1343,26389618502
1655,1344,26389620157
1655,1345,26389621812
1656,1346,26389623468
1655,1347,26389625123
1656,1348,26389626779
1654,1349,26389628433
1656,1350,26389630089
1655,1351,26389631744
1655,1352,26389633399
1656,1353,26389635055
1655,1354,26389636710
1655,1355,26389638365
1655,1356,26389640020
1656,1357,26389641676
1655,1358,26389643331
1655,1359,26389644986
1656,1360,26389646642
1655,1361,26389648297
