Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9
7770.000000,0.000000,0.000000,0.000000,0.018000,-0.003000,-0.316000,0.006000,0.000000
7772.000000,0.000000,0.000000,0.000000,0.018000,-0.003000,-0.316000,0.001000,0.000000
7773.000000,0.000000,0.000000,0.000000,0.018000,-0.003000,-0.316000,0.001000,0.000000
7774.000000,0.000000,0.000000,0.000000,0.018000,-0.003000,-0.316000,0.001000,0.000000
7775.000000,0.000000,0.000000,0.000000,0.018000,-0.003000,0.348000,0.001000,0.000000
7777.000000,0.000000,0.000000,0.000000,0.018000,-0.003000,0.348000,0.001000,0.000000
7778.000000,0.000000,0.000000,0.000000,-0.012000,-0.003000,0.348000,0.001000,0.000000
7779.000000,0.000000,0.000000,0.000000,-0.012000,-0.003000,0.348000,0.001000,0.000000
7780.000000,0.000000,0.000000,0.000000,-0.012000,0.000000,0.348000,0.001000,0.000000
7782.000000,0.000000,0.000000,0.000000,-0.012000,0.000000,0.348000,0.001000,0.000000
7783.000000,0.000000,0.000000,0.000000,-0.012000,0.000000,0.348000,0.001000,0.000000
7784.000000,0.000000,0.000000,0.000000,-0.012000,0.000000,0.348000,0.002000,0.000000
7785.000000,0.000000,0.000000,0.000000,-0.012000,0.000000,0.348000,0.002000,0.000000
7786.000000,0.000000,0.000000,0.000000,-0.012000,0.000000,0.348000,0.002000,0.000000
7788.000000,0.000000,0.000000,0.000000,-0.012000,0.000000,-0.247000,0.002000,0.000000
7789.000000,0.000000,0.000000,0.000000,-0.012000,0.000000,-0.247000,0.002000,0.000000
7790.000000,0.000000,0.000000,0.000000,-0.012000,0.000000,-0.247000,0.002000,0.000000
7791.000000,0.000000,0.000000,0.000000,-0.012000,0.000000,-0.247000,0.002000,0.000000
7793.000000,0.000000,0.000000,0.000000,-0.012000,0.000000,-0.247000,0.002000,0.000000
7794.000000,0.000000,0.000000,0.000000,-0.012000,0.000000,-0.247000,0.002000,0.000000
7795.000000,0.000000,0.000000,0.000000,-0.012000,0.000000,-0.247000,-0.008000,0.000000
7796.000000,0.000000,0.000000,0.000000,-0.012000,0.000000,-0.247000,-0.008000,0.000000
7798.000000,0.000000,0.000000,0.000000,-0.012000,0.000000,-0.247000,-0.008000,0.000000
7799.000000,0.000000,0.000000,0.000000,-0.012000,0.000000,-0.247000,-0.008000,0.000000
7800.000000,0.000000,0.000000,0.000000,0.019000,0.000000,0.009000,-0.008000,0.000000
7801.000000,0.000000,0.000000,0.000000,0.019000,-0.002000,0.009000,-0.008000,0.000000
7803.000000,0.000000,0.000000,0.000000,0.019000,-0.002000,0.009000,-0.008000,0.000000
7804.000000,0.000000,0.000000,0.000000,0.019000,-0.002000,0.009000,-0.008000,0.000000
7805.000000,0.000000,0.000000,0.000000,0.019000,-0.002000,0.009000,-0.008000,0.000000
7806.000000,0.000000,0.000000,0.000000,0.019000,-0.002000,0.009000,-0.008000,0.000000
7808.000000,0.000000,0.000000,0.000000,0.019000,-0.002000,0.009000,-0.005000,0.000000
7809.000000,0.000000,0.000000,0.000000,0.019000,-0.002000,0.009000,-0.005000,0.000000
7810.000000,0.000000,0.000000,0.000000,0.019000,-0.002000,0.009000,-0.005000,0.000000
7811.000000,0.000000,0.000000,0.000000,-0.040000,-0.002000,0.009000,-0.005000,0.000000
7813.000000,0.000000,0.000000,0.000000,-0.040000,-0.003000,0.209000,-0.005000,0.000000
7814.000000,0.000000,0.000000,0.000000,-0.040000,-0.003000,0.209000,-0.005000,0.000000
7815.000000,0.000000,0.000000,0.000000,-0.040000,-0.003000,0.209000,-0.005000,0.000000
7816.000000,0.000000,0.000000,0.000000,-0.040000,-0.003000,0.209000,-0.005000,0.000000
7817.000000,0.000000,0.000000,0.000000,-0.040000,-0.003000,0.209000,-0.005000,0.000000
7819.000000,0.000000,0.000000,0.000000,-0.040000,-0.003000,0.209000,-0.005000,0.000000
7820.000000,0.000000,0.000000,0.000000,-0.040000,-0.003000,0.209000,-0.004000,0.000000
7821.000000,0.000000,0.000000,0.000000,-0.040000,-0.003000,0.209000,-0.004000,0.000000
7822.000000,0.000000,0.000000,0.000000,0.041000,-0.001000,0.209000,-0.004000,0.000000
7824.000000,0.000000,0.000000,0.000000,0.041000,-0.001000,0.209000,-0.004000,0.000000
7825.000000,0.000000,0.000000,0.000000,0.041000,-0.001000,-0.356000,-0.004000,0.000000
7826.000000,0.000000,0.000000,0.000000,0.041000,-0.001000,-0.356000,-0.004000,0.000000
7827.000000,0.000000,0.000000,0.000000,0.041000,-0.001000,-0.356000,-0.004000,0.000000
7829.000000,0.000000,0.000000,0.000000,0.041000,-0.001000,-0.356000,-0.004000,0.000000
7830.000000,0.000000,0.000000,0.000000,0.041000,-0.001000,-0.356000,-0.004000,0.000000
7831.000000,0.000000,0.000000,0.000000,0.041000,-0.001000,-0.356000,-0.008000,0.000000
7832.000000,0.000000,0.000000,0.000000,-0.054000,-0.001000,-0.356000,-0.008000,0.000000
7834.000000,0.000000,0.000000,0.000000,-0.054000,-0.001000,-0.356000,-0.008000,0.000000
7835.000000,0.000000,0.000000,0.000000,-0.054000,-0.001000,-0.356000,-0.008000,0.000000
7836.000000,0.000000,0.000000,0.000000,-0.054000,-0.001000,0.314000,-0.008000,0.000000
7837.000000,0.000000,0.000000,0.000000,-0.054000,-0.001000,0.314000,-0.008000,0.000000
7838.000000,0.000000,0.000000,0.000000,-0.054000,-0.001000,0.314000,-0.008000,0.000000
7840.000000,0.000000,0.000000,0.000000,-0.054000,-0.001000,0.314000,-0.008000,0.000000
7841.000000,0.000000,0.000000,0.000000,-0.054000,-0.001000,0.314000,-0.008000,0.000000
7842.000000,0.000000,0.000000,0.000000,-0.054000,-0.001000,0.314000,-0.008000,0.000000
7843.000000,0.000000,0.000000,0.000000,0.047000,-0.001000,0.314000,-0.005000,0.000000
7845.000000,0.000000,0.000000,0.000000,0.047000,-0.002000,0.314000,-0.005000,0.000000
7846.000000,0.000000,0.000000,0.000000,0.047000,-0.002000,0.314000,-0.005000,0.000000
7847.000000,0.000000,0.000000,0.000000,0.047000,-0.002000,0.314000,-0.005000,0.000000
7848.000000,0.000000,0.000000,0.000000,0.047000,-0.002000,-0.158000,-0.005000,0.000000
7850.000000,0.000000,0.000000,0.000000,0.047000,-0.002000,-0.158000,-0.005000,0.000000
7851.000000,0.000000,0.000000,0.000000,0.047000,-0.002000,-0.158000,-0.005000,0.000000
7852.000000,0.000000,0.000000,0.000000,0.047000,-0.002000,-0.158000,-0.005000,0.000000
7853.000000,0.000000,0.000000,0.000000,0.047000,-0.002000,-0.158000,-0.005000,0.000000
7855.000000,0.000000,0.000000,0.000000,-0.050000,-0.001000,-0.158000,-0.005000,0.000000
7856.000000,0.000000,0.000000,0.000000,-0.050000,-0.001000,-0.158000,-0.006000,0.000000
7857.000000,0.000000,0.000000,0.000000,-0.050000,-0.001000,-0.158000,-0.006000,0.000000
7858.000000,0.000000,0.000000,0.000000,-0.050000,-0.001000,-0.158000,-0.006000,0.000000
7859.000000,0.000000,0.000000,0.000000,-0.050000,-0.001000,-0.158000,-0.006000,0.000000
7861.000000,0.000000,0.000000,0.000000,-0.050000,-0.001000,-0.092000,-0.006000,0.000000
7862.000000,0.000000,0.000000,0.000000,-0.050000,-0.001000,-0.092000,-0.006000,0.000000
7863.000000,0.000000,0.000000,0.000000,-0.050000,-0.001000,-0.092000,-0.006000,0.000000
7864.000000,0.000000,0.000000,0.000000,-0.050000,-0.001000,-0.092000,-0.006000,0.000000
7866.000000,0.000000,0.000000,0.000000,0.033000,-0.001000,-0.092000,-0.006000,0.000000
7867.000000,0.000000,0.000000,0.000000,0.033000,-0.001000,-0.092000,-0.006000,0.000000
7868.000000,0.000000,0.000000,0.000000,0.033000,-0.001000,-0.092000,-0.006000,0.000000
7869.000000,0.000000,0.000000,0.000000,0.033000,-0.001000,-0.092000,-0.006000,0.000000
7871.000000,0.000000,0.000000,0.000000,0.033000,-0.001000,-0.092000,-0.006000,0.000000
7872.000000,0.000000,0.000000,0.000000,0.033000,-0.001000,-0.092000,-0.006000,0.000000
7873.000000,0.000000,0.000000,0.000000,0.033000,-0.001000,0.286000,-0.006000,0.000000
7874.000000,0.000000,0.000000,0.000000,0.033000,-0.001000,0.286000,-0.006000,0.000000
7876.000000,0.000000,0.000000,0.000000,0.033000,0.000000,0.286000,-0.006000,0.000000
7877.000000,0.000000,0.000000,0.000000,-0.029000,0.000000,0.286000,-0.006000,0.000000
7878.000000,0.000000,0.000000,0.000000,-0.029000,0.000000,0.286000,-0.006000,0.000000
7879.000000,0.000000,0.000000,0.000000,-0.029000,0.000000,0.286000,-0.003000,0.000000
7881.000000,0.000000,0.000000,0.000000,-0.029000,0.000000,0.286000,-0.003000,0.000000
7882.000000,0.000000,0.000000,0.000000,-0.029000,0.000000,0.286000,-0.003000,0.000000
7883.000000,0.000000,0.000000,0.000000,-0.029000,0.000000,0.286000,-0.003000,0.000000
7884.000000,0.000000,0.000000,0.000000,-0.029000,0.000000,0.286000,-0.003000,0.000000
7885.000000,0.000000,0.000000,0.000000,-0.029000,0.000000,-0.361000,-0.003000,0.000000
